唯一索引,入库时间,数据状态，1 新增；2修改；3删除,统一社会信用代码,入库更新时间,采集包名,企业名称,所属集团,信用评分,所属行业,日期
ONLY_IDX,RCD_TM,DATA_STAT_VAL,USCC,RCD_UPDATE_TM,CLLT_PKG_NAME,ENT_NAME,BELO_GRP,CRED_SCORE,BELO_INDUS,DATA_DATE
735fa7b2479711eda6035405db086097,,,,,,ADCE2913807B17FDDEE80744B5A6DD25,2696B2D82BC850122C2734D1A0ADD2A4,700,科学研究和技术服务业,202207
73602c0d479711eda6035405db086097,,,,,,A2F6F8D5B76F48647EEFD99E6C9A4F11,7ECC8A63A85C5B443236A35FED8237E6,200,天然气生产和供应业,202207
73602c86479711eda6035405db086097,,,,,,9A3FCEDF8C2C78829E50A3F4A72E6BB1,B014D475AADF403FBC3A66BC524EF22E,200,其他会议、展览及相关服务,202207
73602ccf479711eda6035405db086097,,,,,,A3FCB2B32033D29573F66884296D4024,63E37600D60782A352EB9A981685DDC7,200,其他综合零售,202207
73602d1a479711eda6035405db086097,,,,,,796E75CDCD40B07D9A2B66AC20A8F653,A4D070AE9EE3AF7B68116CD562E98143,200,其他未列明批发业,202207
73602d59479711eda6035405db086097,,,,,,C08FBE11C7C2A9CA582600EF458026F8,9006633367D6A1BF9DFC1EDF6F4733AD,200,其他未列明批发业,202207
73602d96479711eda6035405db086097,,,,,,167F6FCAC11E70AFFDA9AB8CE3E560C4,903A7E645C3023CC6F0FAF9E24FF0DD5,200,医疗用品及器材批发,202207
73602ddc479711eda6035405db086097,,,,,,15F75E4467941C603D267DBDA90C8D28,8BE8113EDDA60EC0A7603E1B419824A9,200,通信系统设备制造,202207
73602e18479711eda6035405db086097,,,,,,15F75E4467941C603D267DBDA90C8D28,9CA3301C72E1EB17DC8066EAACB7480A,200,通信系统设备制造,202407
73602e52479711eda6035405db086097,,,,,,4DD533AFF4F97232C0A13C769441A7FF,416FD1C1885F48618F3F6C20AE7ED857,200,其他建筑安装,202207
73602e91479711eda6035405db086097,,,,,,68184480D063392A1C286A1B74DB927D,9CA3301C72E1EB17DC8066EAACB7480A,200,,202207
73602eda479711eda6035405db086097,,,,,,651C2CCCF08EB4B9409C309F7F819594,86DEA922427AD5D3C9D9DDFE6FCB862A,200,房地产业,202207
73602f18479711eda6035405db086097,,,,,,7E58757BBF3F06D7742E9DFF92B0F654,0325F0D1A50CEE8D97F0E5628C33539D,200,科学研究和技术服务业,202207
73602f53479711eda6035405db086097,,,,,,583C2EA4B556C92FCD644C8F035B5EA3,35606E302B07998E35A15F3C5A90A285,200,化纤织物染整精加工,202207
73602f99479711eda6035405db086097,,,,,,E5BDE45C70C6C4E8130A5AC2A9D409D6,550EB5A50729D98CF823FBC75539E33B,200,环保技术推广服务,202207
