CRED_LVL,ADD_CNT,TM,LOSS,ONLY_IDX,RCD_TM,DATA_STAT_VAL,USCC,RCD_UPDATE_TM,CLLT_PKG_NAME
B,5610.0,2022-02-15,1612.0,0AA3D51B5643B31193A409EB92A5FD6F,,,,,
A,3957.0,2022-07-17,5015.0,20E0D41B5643B311FF8091371169FF7F,,,,,
A,6187.5,2022-04-22,2193.0,3115D41B5643B3116C9EFFF50C007B32,,,,,
A,292.0,2022-02-06,5395.0,3DD0D31B5643B3114F98898637F3EFE3,,,,,
A,331.0,2021-12-17,117.0,3F7CD31B5643B31112A894D15614BFBD,,,,,
B,978.0,2022-01-15,6940.0,418FD51B5643B311558BC8C2888DBF5F,,,,,
B,474.0,2021-12-06,588.0,5F3ED51B5643B3119DAE95B35C5EFF78,,,,,
G,6606.0,2022-01-08,36.0,937CD31B5643B311EDAEBED52B7BBBD9,,,,,
A,26779.0,2022-03-22,3191.0,ADF9D31B5643B31107AE00FC8745EFCB,,,,,
A,4334.0,2022-05-06,6505.0,B166D41B5643B311BFAFC0D746B7E779,,,,,
A,3985.0,2022-06-19,4440.0,E39FD41B5643B3113382CB2130A0F7DF,,,,,
A,8609.0,2022-10-11,628.5,EAFCD41B5643B311AC8D6C76B33BFFFD,,,,,
A,827.0,2022-09-09,736.0,FAF4D41B5643B31170A22347C0FABEB3,,,,,
A,3855.0,2022-11-23,4879.0,FC35D51B5643B3116CB29EB8D9507EA7,,,,,
A,1220.0,2022-08-18,757.0,FEE8D41B5643B3112689B2CC13387E7D,,,,,
