CRED_LVL,ADD_CNT,TM,LOSS,ONLY_IDX,RCD_TM,DATA_STAT_VAL,USCC,RCD_UPDATE_TM,CLLT_PKG_NAME
A,3724.0,2022-01-14,96.0,139C22454C43B3114784B8FAC2B6DF77,,,,,
A,4553.5,2022-06-13,412.0,240123454C43B3112A9F152C6248FE7F,,,,,
A,1196.0,2022-11-14,966.0,382723454C43B311E2852721D62C7F7D,,,,,
A,624.0,2022-10-11,119.0,3B1C23454C43B311ED92205D727592F7,,,,,
B,27.0,2021-12-24,82.0,462723454C43B311688C0AFD1CF7DBFF,,,,,
B,1307.0,2022-01-15,3944.0,525623454C43B3118CA698B6B7457F47,,,,,
A,580.0,2022-05-12,3913.0,7CFC22454C43B311B4AA82296350DFD6,,,,,
A,10979.0,2022-03-12,777.7,9BC122454C43B31185A2C1689CFF977F,,,,,
A,1299.0,2022-07-07,1575.0,BB1323454C43B311E0A9FEB3A7EBDFBF,,,,,
3,1277.0,2022-04-20,720.0,CACC22454C43B311F4A6402BEAC6FB8F,,,,,
A,266.0,2022-02-21,1704.0,D0B822454C43B31135813F7F1D2FECF5,,,,,
A,67.0,2021-12-07,22.0,E19B22454C43B311C7814C382D14FFFF,,,,,
A,401.0,2022-08-06,179.0,EB1723454C43B3114BAC864A92B0D7FF,,,,,
B,1986.0,2022-02-15,529.0,EC5D23454C43B311ADA2EF858D0CDDCF,,,,,
A,232.0,2022-09-08,126.0,F41723454C43B3113E85AE5373C67467,,,,,
