规模,信用等级,企业数量,百分占比,时间,唯一索引,入库时间,数据状态，1 新增；2修改；3删除,统一社会信用代码,入库更新时间,采集包名
SIZE,CRED_LVL,ENT_CNT,RATIO,TM,ONLY_IDX,RCD_TM,DATA_STAT_VAL,USCC,RCD_UPDATE_TM,CLLT_PKG_NAME
1亿,D,927,5,2022-11-11 00:00:00,03D69FCBC85DB311129B66E9C931FF3D,,,,,
1亿,E,17,3.79,2022-11-07 00:00:00,08D69FCBC85DB31163956FA03283BBF6,,,,,
1000万,A,18584,28.15,2022-11-17 00:00:00,A0D59FCBC85DB3118CB03C17D041E66F,,,,,
1000万,B,11523,25.21,2022-11-19 00:00:00,BED59FCBC85DB311E0BBC0C31226FFFE,,,,,
1000万,C,7843,23.86,2022-11-21 00:00:00,C4D59FCBC85DB311F38FF16B47939F67,,,,,
1000万,D,6135,35.7,2022-11-20 00:00:00,C9D59FCBC85DB311A9B52BD5E7B06CEC,,,,,
1000万,E,170,37.72,2022-11-14 00:00:00,CDD59FCBC85DB311A894B93255F3D37D,,,,,
10亿+,A,251,0.4,2022-11-17 00:00:00,DFD59FCBC85DB311078EF49F1053FF6D,,,,,
10亿+,BB,191,0.42,2022-11-07 00:00:00,E4D59FCBC85DB311B796FDEBE7AEF3EA,,,,,
10亿+,C,166,0.48,2022-11-11 00:00:00,E8D59FCBC85DB311CEAD1A9E5BDEAD2E,,,,,
10亿+,D,164.1,0.91,2022-11-16 00:00:00,EDD59FCBC85DB31156B58B8E3731EB6C,,,,,
10亿+,E,3,0.63,2022-11-13 00:00:00,F1D59FCBC85DB3114C9219EB3FA2EF57,,,,,
1亿,A,2323,104.04,2022-11-12 00:00:00,F7D59FCBC85DB3110A97E69EB34C8F7F,,,,,
1亿,B,1080,2.54,2022-11-18 00:00:00,FBD59FCBC85DB31112B4EB01BA88DAFF,,,,,
1亿,C,749,2,2022-11-22 00:00:00,FFD59FCBC85DB311A4B41E7BABC27F7D,,,,,
