行业名称,信用等级,企业数量,百分占比,时间,唯一索引,入库时间,数据状态，1 新增；2修改；3删除,统一社会信用代码,入库更新时间,采集包名
INDUS_NAME,CRED_LVL,ENT_CNT,RATIO,TM,ONLY_IDX,RCD_TM,DATA_STAT_VAL,USCC,RCD_UPDATE_TM,CLLT_PKG_NAME
制造业,F,1732,3.94,2021-11-12 00:00:00,111BB8705443B311E7B74DFABDAFDFF3,,,,,
制造业,A,1653,4.05,2021-09-14 00:00:00,164FB4705443B311FFA87FA2DF00EAFD,,,,,
制造业,A,3877.5,8.68,2022-07-11 00:00:00,1DE6C5725443B311DDB82FEB6E44FF7B,,,,,
批发和零售业,A,1036,2.5,2021-09-13 00:00:00,42374D745443B3115888870A0D967FB5,,,,,
制造业,A,3702,9.65,2022-04-21 00:00:00,4242C6715443B311CAA21811C25FFE77,,,,,
制造业,A,3748,8.92,2022-05-11 00:00:00,49D909725443B311B58D0A1EB536FFE9,,,,,
制造业,A,4317,108.6,2022-10-13 00:00:00,500AE3735443B311B385299960995D7D,,,,,
制造业,A,3024,6.77,2022-01-15 00:00:00,6775F8705443B3113F92CAADE7B3AFF9,,,,,
制造业,A,3659,9.7,2022-06-20 00:00:00,6F5C68725443B3118A80903E71B8F637,,,,,
制造业,A,2398,5.33,2022-02-08 00:00:00,72D227715443B311AEA3697CA7C07FDF,,,,,
制造业,A,1602,3.83,2021-12-13 00:00:00,83FCC2705443B311908BA6625BDBFF56,,,,,
制造业,A,3614,9.73,2022-11-17 00:00:00,B5AC32745443B311B29E3F777D4175F5,,,,,
制造业,A,4096,9.45,2022-03-15 00:00:00,D38C6D715443B311AD938905F11BBB7E,,,,,
制造业,A,4209,8.13,2022-08-13 00:00:00,EDE024735443B311D58DE6AA1460DD3F,,,,,
制造业,A,4377,8.09,2022-09-07 00:00:00,FB6E84735443B311B09849095E7CFF3B,,,,,
